layer,group,probe,token_id,mean_trigger_minus_clean_logit,std,positive_fraction
4,checking,careful,16585,0.372175931930542,0.14343124628067017,0.96875
4,reasoning,think,1744,0.3743637204170227,0.18114012479782104,0.984375
4,reasoning,reason,2874,0.4714098572731018,0.14788682758808136,1.0
4,reasoning,answer,4226,0.3308980464935303,0.21384137868881226,0.984375
4,reasoning,solve,11625,0.09608752280473709,0.12700322270393372,0.734375
4,reasoning,step,3019,0.4322047829627991,0.20559817552566528,0.953125
4,reasoning,conclusion,16688,0.28672128915786743,0.1737523078918457,0.953125
4,termination,final,1590,0.36306843161582947,0.16996678709983826,1.0
4,termination,end,835,0.2143269032239914,0.20800206065177917,0.84375
4,termination,stop,2936,0.41422152519226074,0.24531817436218262,0.984375
4,termination,short,2805,0.5657045841217041,0.26896190643310547,0.984375
4,termination,continue,3060,0.3235020041465759,0.14323079586029053,0.96875
4,plausibility,plausible,49334,0.33873385190963745,0.16610582172870636,0.984375
4,plausibility,coherent,55787,0.2695884108543396,0.1563216596841812,0.96875
4,plausibility,confident,16506,0.4611828029155731,0.1254098117351532,1.0
4,plausibility,trust,6950,0.47661805152893066,0.16211265325546265,1.0
5,error,wrong,4969,2.8697407245635986,0.7843756079673767,1.0
5,error,incorrect,15114,1.0793898105621338,0.595962405204773,0.984375
5,error,error,1465,4.49481725692749,0.8974604606628418,1.0
5,error,mistake,16523,0.1419832408428192,0.3891454041004181,0.625
5,error,misleading,37209,-2.1321589946746826,0.4104368984699249,0.0
5,error,deceive,92828,-0.30016717314720154,0.2905783951282501,0.109375
5,checking,correct,4396,3.195741653442383,0.9981229305267334,1.0
5,checking,verify,10146,0.9738331437110901,0.4934003949165344,0.96875
5,checking,check,1779,2.6928658485412598,0.7142587900161743,1.0
5,checking,careful,16585,1.0614721775054932,0.425706684589386,1.0
5,reasoning,think,1744,1.5236023664474487,0.4660017192363739,1.0
5,reasoning,reason,2874,0.8427180051803589,0.519430935382843,0.96875
5,reasoning,answer,4226,2.147526264190674,0.6919670104980469,1.0
5,reasoning,solve,11625,1.073890209197998,0.5442044138908386,0.984375
5,reasoning,step,3019,3.1734297275543213,0.9352632761001587,1.0
5,reasoning,conclusion,16688,2.112309455871582,0.7154721021652222,1.0
5,termination,final,1590,2.144911289215088,0.742711067199707,1.0
5,termination,end,835,1.1997431516647339,0.516579270362854,1.0
5,termination,stop,2936,3.241044521331787,0.8208804726600647,1.0
5,termination,short,2805,3.299724578857422,0.9262915849685669,1.0
5,termination,continue,3060,0.6680898070335388,0.43789446353912354,0.9375
5,plausibility,plausible,49334,1.280259132385254,0.4815022647380829,1.0
5,plausibility,coherent,55787,2.559889793395996,0.6817005276679993,1.0
5,plausibility,confident,16506,1.4587889909744263,0.5246672034263611,1.0
5,plausibility,trust,6950,2.2282707691192627,0.6386384963989258,1.0
6,error,wrong,4969,0.9866943359375,0.7955947518348694,0.9375
6,error,incorrect,15114,0.24135816097259521,0.7525957226753235,0.609375
6,error,error,1465,2.110405445098877,0.8938870429992676,1.0
